enddate,yield
20201102,0.03150000
20201103,0.03150000
20201104,0.03150200
20201105,0.03140000
20201106,0.03140800
20201109,0.03130000
20201110,0.03140000
20201111,0.03145000
20201112,0.03170200
20201113,0.03170000
20201116,0.03175000
20201117,0.03190200
20201118,0.03210000
20201119,0.03270100
20201120,0.03280000
20201123,0.03280100
20201124,0.03250000
20201125,0.03280000
20201126,0.03300000
20201127,0.03310000
20201130,0.03250000
20201201,0.03190300
20201202,0.03190000
20201203,0.03210400
20201204,0.03230000
20201207,0.03240000
20201208,0.03234200
20201209,0.03200000
20201210,0.03100000
20201211,0.03115000
20201214,0.03120000
20201215,0.02980000
20201216,0.02950000
20201217,0.02940000
20201218,0.02960000
20201221,0.02960000
20201222,0.02960000
20201223,0.02945000
20201224,0.02940000
20201225,0.02930000
20201228,0.02920000
20201229,0.02940000
20201230,0.02900000
20201231,0.02850000
20210104,0.02830000
20210105,0.02840000
20210106,0.02800000
20210107,0.02740000
20210108,0.02740000
20210111,0.02776700
20210112,0.02780000
20210113,0.02770000
20210114,0.02740000
20210115,0.02760000
20210118,0.02810100
20210119,0.02830000
20210120,0.02820000
20210121,0.02840000
20210122,0.02850000
20210125,0.02895000
20210126,0.02920000
20210127,0.02970000
20210128,0.03050000
20210129,0.03080000
20210201,0.02980000
20210202,0.02980000
20210203,0.03010000
20210204,0.03050000
20210205,0.03080000
20210207,0.03080000
20210208,0.03075000
20210209,0.03060000
20210210,0.03030000
20210218,0.03070000
20210219,0.03071900
20210220,0.03080000
20210222,0.03120100
20210223,0.03120000
20210224,0.03110000
20210225,0.03100000
20210226,0.03090000
20210301,0.03100000
20210302,0.03095000
20210303,0.03080000
20210304,0.03085000
20210305,0.03090000
20210308,0.03095000
20210309,0.03095000
20210310,0.03090000
20210311,0.03125000
20210312,0.03110000
20210315,0.03115000
20210316,0.03110000
20210317,0.03072500
20210318,0.03060000
20210319,0.03035000
20210322,0.03035000
20210323,0.03030000
20210324,0.03010000
20210325,0.03030000
20210326,0.03040000
20210329,0.03060000
20210330,0.03045000
20210331,0.03040000
20210401,0.03020000
20210402,0.03010000
20210406,0.03005000
20210407,0.03030000
20210408,0.03035000
20210409,0.03025000
20210412,0.03030000
20210413,0.02990000
20210414,0.02990000
20210415,0.02990000
20210416,0.02990000
20210419,0.02995000
20210420,0.02980000
20210421,0.02955000
20210422,0.02950000
20210423,0.02935000
20210425,0.02955000
20210426,0.02955000
20210427,0.02950000
20210428,0.02935000
20210429,0.02900000
20210430,0.02905000
20210506,0.02900000
20210507,0.02895000
20210508,0.02885000
20210510,0.02890000
20210511,0.02880000
20210512,0.02870000
20210513,0.02890000
20210514,0.02885000
20210517,0.02902500
20210518,0.02910000
20210519,0.02890000
20210520,0.02885000
20210521,0.02865000
20210524,0.02865000
20210525,0.02875000
20210526,0.02860000
20210527,0.02860000
20210528,0.02870000
20210531,0.02867500
20210601,0.02847500
20210602,0.02835000
20210603,0.02820000
20210604,0.02820000
20210607,0.02870000
20210608,0.02865000
20210609,0.02865000
20210610,0.02860000
20210611,0.02860000
20210615,0.02885000
20210616,0.02905000
20210617,0.02920000
20210618,0.02920000
20210621,0.02920000
20210622,0.02920000
20210623,0.02900000
20210624,0.02865000
20210625,0.02870000
20210628,0.02885000
20210629,0.02900000
20210630,0.02850000
20210701,0.02830000
20210702,0.02835000
20210705,0.02825000
20210706,0.02832500
20210707,0.02820000
20210708,0.02770000
20210709,0.02810000
20210712,0.02765000
20210713,0.02725000
20210714,0.02700000
20210715,0.02725000
20210716,0.02730000
20210719,0.02730000
20210720,0.02735000
20210721,0.02735000
20210722,0.02730000
20210723,0.02722500
20210726,0.02710000
20210727,0.02720000
20210728,0.02725000
20210729,0.02710000
20210730,0.02695000
20210802,0.02660000
20210803,0.02660000
20210804,0.02670000
20210805,0.02645000
20210806,0.02640000
20210809,0.02660000
20210810,0.02670000
20210811,0.02650000
20210812,0.02655000
20210813,0.02665000
20210816,0.02665000
20210817,0.02670000
20210818,0.02660000
20210819,0.02655000
20210820,0.02650000
20210823,0.02660000
20210824,0.02660000
20210825,0.02655000
20210826,0.02670000
20210827,0.02670000
20210830,0.02670000
20210831,0.02670000
20210901,0.02660000
20210902,0.02662500
20210903,0.02660000
20210906,0.02660000
20210907,0.02660000
20210908,0.02665000
20210909,0.02670000
20210910,0.02680000
20210913,0.02690000
20210914,0.02720000
20210915,0.02690000
20210916,0.02705000
20210917,0.02705000
20210918,0.02710000
20210922,0.02710000
20210923,0.02715000
20210924,0.02730000
20210926,0.02740000
20210927,0.02770000
20210928,0.02770000
20210929,0.02710000
20210930,0.02680000
20211008,0.02690000
20211009,0.02680000
20211011,0.02690000
20211012,0.02695000
20211013,0.02700000
20211014,0.02720000
20211015,0.02720000
20211018,0.02730000
20211019,0.02760000
20211020,0.02780000
20211021,0.02785000
20211022,0.02760000
20211025,0.02780000
20211026,0.02790000
20211027,0.02785000
20211028,0.02785000
20211029,0.02785000
20211101,0.02790000
20211102,0.02780000
20211103,0.02775000
20211104,0.02760000
20211105,0.02720000
20211108,0.02735000
20211109,0.02745000
20211110,0.02730000
20211111,0.02730000
20211112,0.02725000
20211115,0.02730000
20211116,0.02730000
20211117,0.02730000
20211118,0.02725000
20211119,0.02725000
20211122,0.02720000
20211123,0.02720000
20211124,0.02720000
20211125,0.02710000
20211126,0.02695000
20211129,0.02700000
20211130,0.02710000
20211201,0.02700000
20211202,0.02690000
20211203,0.02680000
20211206,0.02650000
20211207,0.02665000
20211208,0.02680000
20211209,0.02680000
20211210,0.02670000
20211213,0.02680000
20211214,0.02685000
20211215,0.02690000
20211216,0.02710000
20211217,0.02720000
20211220,0.02760000
20211221,0.02775000
20211222,0.02740000
20211223,0.02715000
20211224,0.02715000
20211227,0.02730000
20211228,0.02710000
20211229,0.02675000
20211230,0.02670000
20211231,0.02600000
20220104,0.02610000
20220105,0.02605000
20220106,0.02610000
20220107,0.02585000
20220110,0.02595000
20220111,0.02605000
20220112,0.02600000
20220113,0.02615000
20220114,0.02610000
20220117,0.02560000
20220118,0.02520000
20220119,0.02430000
20220120,0.02460000
20220121,0.02460000
20220124,0.02410000
20220125,0.02425000
20220126,0.02440000
20220127,0.02443800
20220128,0.02420000
20220129,0.02410000
20220130,0.02410000
20220207,0.02455000
20220208,0.02450000
20220209,0.02440000
20220210,0.02435000
20220211,0.02455000
20220214,0.02455000
20220215,0.02470000
20220216,0.02465000
20220217,0.02465000
20220218,0.02480000
20220221,0.02510000
20220222,0.02520000
20220223,0.02520000
20220224,0.02530000
20220225,0.02530000
20220228,0.02530000
20220301,0.02535000
20220302,0.02545000
20220303,0.02570000
20220304,0.02575000
20220307,0.02590000
20220308,0.02590000
20220309,0.02600000
20220310,0.02610000
20220311,0.02610000
20220314,0.02570000
20220315,0.02625000
20220316,0.02610000
20220317,0.02610000
20220318,0.02590000
20220321,0.02585000
20220322,0.02610000
20220323,0.02610000
20220324,0.02610000
20220325,0.02600000
20220328,0.02605000
20220329,0.02605000
20220330,0.02590000
20220331,0.02555000
20220401,0.02540000
20220402,0.02515000
20220406,0.02490000
20220407,0.02480000
20220408,0.02470000
20220411,0.02480000
20220412,0.02500000
20220413,0.02495000
20220414,0.02470000
20220415,0.02460000
20220418,0.02490000
20220419,0.02470000
20220420,0.02455000
20220421,0.02440000
20220422,0.02410000
20220424,0.02400000
20220425,0.02400000
20220426,0.02390000
20220427,0.02380000
20220428,0.02405000
20220429,0.02390000
20220505,0.02390000
20220506,0.02385000
20220507,0.02370000
20220509,0.02370000
20220510,0.02355000
20220511,0.02340000
20220512,0.02335000
20220513,0.02300000
20220516,0.02300000
20220517,0.02290000
20220518,0.02270000
20220519,0.02255000
20220520,0.02280000
20220523,0.02270000
20220524,0.02310000
20220525,0.02330000
20220526,0.02270000
20220527,0.02290000
20220530,0.02291200
20220531,0.02300000
20220601,0.02305000
20220602,0.02330000
20220606,0.02400000
20220607,0.02410000
20220608,0.02370000
20220609,0.02380000
20220610,0.02375000
20220613,0.02380000
20220614,0.02380000
20220615,0.02370000
20220616,0.02360000
20220617,0.02315000
20220620,0.02335000
20220621,0.02340000
20220622,0.02310000
20220623,0.02290000
20220624,0.02290000
20220627,0.02325000
20220628,0.02320000
20220629,0.02305000
20220630,0.02280000
20220701,0.02285000
20220704,0.02320000
20220705,0.02335000
20220706,0.02310000
20220707,0.02305000
20220708,0.02285000
20220711,0.02290000
20220712,0.02275000
20220713,0.02255000
20220714,0.02255000
20220715,0.02195000
20220718,0.02140000
20220719,0.02160000
20220720,0.02160000
20220721,0.02145000
20220722,0.02155000
20220725,0.02155000
20220726,0.02120000
20220727,0.02110000
20220728,0.02125000
20220729,0.02045000
20220801,0.01960000
20220802,0.01940000
20220803,0.01940000
20220804,0.01900000
20220805,0.01920000
20220808,0.01940000
20220809,0.01990000
20220810,0.01990000
20220811,0.02020000
20220812,0.02020000
20220815,0.01905000
20220816,0.01895000
20220817,0.01920000
20220818,0.01910000
20220819,0.01910000
20220822,0.01930000
20220823,0.01940000
20220824,0.01965000
20220825,0.01985000
20220826,0.01990000
20220829,0.01970000
20220830,0.01940000
20220831,0.01940000
20220901,0.01950000
20220902,0.01945000
20220905,0.01935000
20220906,0.01930000
20220907,0.01935000
20220908,0.01945000
20220909,0.01940000
20220913,0.01950000
20220914,0.01955000
20220915,0.01951000
20220916,0.01975000
20220919,0.01990000
20220920,0.01985000
20220921,0.01975000
20220922,0.01975000
20220923,0.01982500
20220926,0.01990000
20220927,0.02010000
20220928,0.02005000
20220929,0.02010000
20220930,0.01990000
20221008,0.01970000
20221009,0.01965000
20221010,0.01975000
20221011,0.01990000
20221012,0.01995000
20221013,0.01997500
20221014,0.02000000
20221017,0.02000000
20221018,0.02005000
20221019,0.02000000
20221020,0.02010000
20221021,0.02030000
20221024,0.02037500
20221025,0.02050000
20221026,0.02030000
20221027,0.02020000
20221028,0.02010000
20221031,0.02020000
20221101,0.02040000
20221102,0.02045000
20221103,0.02055000
20221104,0.02085000
20221107,0.02105000
20221108,0.02155000
20221109,0.02160000
