stat_date,is_trade,next_trade_date,last_trade_date,is_week_end,is_month_end,is_quarter_end,is_year_end,trade_day_rank
20201101,0,20201102,20201030,0,0,0,0,0
20201102,1,20201103,20201030,0,0,0,0,7299
20201103,1,20201104,20201102,0,0,0,0,7300
20201104,1,20201105,20201103,0,0,0,0,7301
20201105,1,20201106,20201104,0,0,0,0,7302
20201106,1,20201109,20201105,1,0,0,0,7303
20201107,0,20201109,20201106,0,0,0,0,0
20201108,0,20201109,20201106,0,0,0,0,0
20201109,1,20201110,20201106,0,0,0,0,7304
20201110,1,20201111,20201109,0,0,0,0,7305
20201111,1,20201112,20201110,0,0,0,0,7306
20201112,1,20201113,20201111,0,0,0,0,7307
20201113,1,20201116,20201112,1,0,0,0,7308
20201114,0,20201116,20201113,0,0,0,0,0
20201115,0,20201116,20201113,0,0,0,0,0
20201116,1,20201117,20201113,0,0,0,0,7309
20201117,1,20201118,20201116,0,0,0,0,7310
20201118,1,20201119,20201117,0,0,0,0,7311
20201119,1,20201120,20201118,0,0,0,0,7312
20201120,1,20201123,20201119,1,0,0,0,7313
20201121,0,20201123,20201120,0,0,0,0,0
20201122,0,20201123,20201120,0,0,0,0,0
20201123,1,20201124,20201120,0,0,0,0,7314
20201124,1,20201125,20201123,0,0,0,0,7315
20201125,1,20201126,20201124,0,0,0,0,7316
20201126,1,20201127,20201125,0,0,0,0,7317
20201127,1,20201130,20201126,1,0,0,0,7318
20201128,0,20201130,20201127,0,0,0,0,0
20201129,0,20201130,20201127,0,0,0,0,0
20201130,1,20201201,20201127,0,1,0,0,7319
20201201,1,20201202,20201130,0,0,0,0,7320
20201202,1,20201203,20201201,0,0,0,0,7321
20201203,1,20201204,20201202,0,0,0,0,7322
20201204,1,20201207,20201203,1,0,0,0,7323
20201205,0,20201207,20201204,0,0,0,0,0
20201206,0,20201207,20201204,0,0,0,0,0
20201207,1,20201208,20201204,0,0,0,0,7324
20201208,1,20201209,20201207,0,0,0,0,7325
20201209,1,20201210,20201208,0,0,0,0,7326
20201210,1,20201211,20201209,0,0,0,0,7327
20201211,1,20201214,20201210,1,0,0,0,7328
20201212,0,20201214,20201211,0,0,0,0,0
20201213,0,20201214,20201211,0,0,0,0,0
20201214,1,20201215,20201211,0,0,0,0,7329
20201215,1,20201216,20201214,0,0,0,0,7330
20201216,1,20201217,20201215,0,0,0,0,7331
20201217,1,20201218,20201216,0,0,0,0,7332
20201218,1,20201221,20201217,1,0,0,0,7333
20201219,0,20201221,20201218,0,0,0,0,0
20201220,0,20201221,20201218,0,0,0,0,0
20201221,1,20201222,20201218,0,0,0,0,7334
20201222,1,20201223,20201221,0,0,0,0,7335
20201223,1,20201224,20201222,0,0,0,0,7336
20201224,1,20201225,20201223,0,0,0,0,7337
20201225,1,20201228,20201224,1,0,0,0,7338
20201226,0,20201228,20201225,0,0,0,0,0
20201227,0,20201228,20201225,0,0,0,0,0
20201228,1,20201229,20201225,0,0,0,0,7339
20201229,1,20201230,20201228,0,0,0,0,7340
20201230,1,20201231,20201229,0,0,0,0,7341
20201231,1,20210104,20201230,1,1,1,1,7342
20210101,0,20210104,20201231,0,0,0,0,0
20210102,0,20210104,20201231,0,0,0,0,0
20210103,0,20210104,20201231,0,0,0,0,0
20210104,1,20210105,20201231,0,0,0,0,7343
20210105,1,20210106,20210104,0,0,0,0,7344
20210106,1,20210107,20210105,0,0,0,0,7345
20210107,1,20210108,20210106,0,0,0,0,7346
20210108,1,20210111,20210107,1,0,0,0,7347
20210109,0,20210111,20210108,0,0,0,0,0
20210110,0,20210111,20210108,0,0,0,0,0
20210111,1,20210112,20210108,0,0,0,0,7348
20210112,1,20210113,20210111,0,0,0,0,7349
20210113,1,20210114,20210112,0,0,0,0,7350
20210114,1,20210115,20210113,0,0,0,0,7351
20210115,1,20210118,20210114,1,0,0,0,7352
20210116,0,20210118,20210115,0,0,0,0,0
20210117,0,20210118,20210115,0,0,0,0,0
20210118,1,20210119,20210115,0,0,0,0,7353
20210119,1,20210120,20210118,0,0,0,0,7354
20210120,1,20210121,20210119,0,0,0,0,7355
20210121,1,20210122,20210120,0,0,0,0,7356
20210122,1,20210125,20210121,1,0,0,0,7357
20210123,0,20210125,20210122,0,0,0,0,0
20210124,0,20210125,20210122,0,0,0,0,0
20210125,1,20210126,20210122,0,0,0,0,7358
20210126,1,20210127,20210125,0,0,0,0,7359
20210127,1,20210128,20210126,0,0,0,0,7360
20210128,1,20210129,20210127,0,0,0,0,7361
20210129,1,20210201,20210128,1,1,0,0,7362
20210130,0,20210201,20210129,0,0,0,0,0
20210131,0,20210201,20210129,0,0,0,0,0
20210201,1,20210202,20210129,0,0,0,0,7363
20210202,1,20210203,20210201,0,0,0,0,7364
20210203,1,20210204,20210202,0,0,0,0,7365
20210204,1,20210205,20210203,0,0,0,0,7366
20210205,1,20210208,20210204,1,0,0,0,7367
20210206,0,20210208,20210205,0,0,0,0,0
20210207,0,20210208,20210205,0,0,0,0,0
20210208,1,20210209,20210205,0,0,0,0,7368
20210209,1,20210210,20210208,0,0,0,0,7369
20210210,1,20210218,20210209,1,0,0,0,7370
20210211,0,20210218,20210210,0,0,0,0,0
20210212,0,20210218,20210210,0,0,0,0,0
20210213,0,20210218,20210210,0,0,0,0,0
20210214,0,20210218,20210210,0,0,0,0,0
20210215,0,20210218,20210210,0,0,0,0,0
20210216,0,20210218,20210210,0,0,0,0,0
20210217,0,20210218,20210210,0,0,0,0,0
20210218,1,20210219,20210210,0,0,0,0,7371
20210219,1,20210222,20210218,1,0,0,0,7372
20210220,0,20210222,20210219,0,0,0,0,0
20210221,0,20210222,20210219,0,0,0,0,0
20210222,1,20210223,20210219,0,0,0,0,7373
20210223,1,20210224,20210222,0,0,0,0,7374
20210224,1,20210225,20210223,0,0,0,0,7375
20210225,1,20210226,20210224,0,0,0,0,7376
20210226,1,20210301,20210225,1,1,0,0,7377
20210227,0,20210301,20210226,0,0,0,0,0
20210228,0,20210301,20210226,0,0,0,0,0
20210301,1,20210302,20210226,0,0,0,0,7378
20210302,1,20210303,20210301,0,0,0,0,7379
20210303,1,20210304,20210302,0,0,0,0,7380
20210304,1,20210305,20210303,0,0,0,0,7381
20210305,1,20210308,20210304,1,0,0,0,7382
20210306,0,20210308,20210305,0,0,0,0,0
20210307,0,20210308,20210305,0,0,0,0,0
20210308,1,20210309,20210305,0,0,0,0,7383
20210309,1,20210310,20210308,0,0,0,0,7384
20210310,1,20210311,20210309,0,0,0,0,7385
20210311,1,20210312,20210310,0,0,0,0,7386
20210312,1,20210315,20210311,1,0,0,0,7387
20210313,0,20210315,20210312,0,0,0,0,0
20210314,0,20210315,20210312,0,0,0,0,0
20210315,1,20210316,20210312,0,0,0,0,7388
20210316,1,20210317,20210315,0,0,0,0,7389
20210317,1,20210318,20210316,0,0,0,0,7390
20210318,1,20210319,20210317,0,0,0,0,7391
20210319,1,20210322,20210318,1,0,0,0,7392
20210320,0,20210322,20210319,0,0,0,0,0
20210321,0,20210322,20210319,0,0,0,0,0
20210322,1,20210323,20210319,0,0,0,0,7393
20210323,1,20210324,20210322,0,0,0,0,7394
20210324,1,20210325,20210323,0,0,0,0,7395
20210325,1,20210326,20210324,0,0,0,0,7396
20210326,1,20210329,20210325,1,0,0,0,7397
20210327,0,20210329,20210326,0,0,0,0,0
20210328,0,20210329,20210326,0,0,0,0,0
20210329,1,20210330,20210326,0,0,0,0,7398
20210330,1,20210331,20210329,0,0,0,0,7399
20210331,1,20210401,20210330,0,1,1,0,7400
20210401,1,20210402,20210331,0,0,0,0,7401
20210402,1,20210406,20210401,1,0,0,0,7402
20210403,0,20210406,20210402,0,0,0,0,0
20210404,0,20210406,20210402,0,0,0,0,0
20210405,0,20210406,20210402,0,0,0,0,0
20210406,1,20210407,20210402,0,0,0,0,7403
20210407,1,20210408,20210406,0,0,0,0,7404
20210408,1,20210409,20210407,0,0,0,0,7405
20210409,1,20210412,20210408,1,0,0,0,7406
20210410,0,20210412,20210409,0,0,0,0,0
20210411,0,20210412,20210409,0,0,0,0,0
20210412,1,20210413,20210409,0,0,0,0,7407
20210413,1,20210414,20210412,0,0,0,0,7408
20210414,1,20210415,20210413,0,0,0,0,7409
20210415,1,20210416,20210414,0,0,0,0,7410
20210416,1,20210419,20210415,1,0,0,0,7411
20210417,0,20210419,20210416,0,0,0,0,0
20210418,0,20210419,20210416,0,0,0,0,0
20210419,1,20210420,20210416,0,0,0,0,7412
20210420,1,20210421,20210419,0,0,0,0,7413
20210421,1,20210422,20210420,0,0,0,0,7414
20210422,1,20210423,20210421,0,0,0,0,7415
20210423,1,20210426,20210422,1,0,0,0,7416
20210424,0,20210426,20210423,0,0,0,0,0
20210425,0,20210426,20210423,0,0,0,0,0
20210426,1,20210427,20210423,0,0,0,0,7417
20210427,1,20210428,20210426,0,0,0,0,7418
20210428,1,20210429,20210427,0,0,0,0,7419
20210429,1,20210430,20210428,0,0,0,0,7420
20210430,1,20210506,20210429,1,1,0,0,7421
20210501,0,20210506,20210430,0,0,0,0,0
20210502,0,20210506,20210430,0,0,0,0,0
20210503,0,20210506,20210430,0,0,0,0,0
20210504,0,20210506,20210430,0,0,0,0,0
20210505,0,20210506,20210430,0,0,0,0,0
20210506,1,20210507,20210430,0,0,0,0,7422
20210507,1,20210510,20210506,1,0,0,0,7423
20210508,0,20210510,20210507,0,0,0,0,0
20210509,0,20210510,20210507,0,0,0,0,0
20210510,1,20210511,20210507,0,0,0,0,7424
20210511,1,20210512,20210510,0,0,0,0,7425
20210512,1,20210513,20210511,0,0,0,0,7426
20210513,1,20210514,20210512,0,0,0,0,7427
20210514,1,20210517,20210513,1,0,0,0,7428
20210515,0,20210517,20210514,0,0,0,0,0
20210516,0,20210517,20210514,0,0,0,0,0
20210517,1,20210518,20210514,0,0,0,0,7429
20210518,1,20210519,20210517,0,0,0,0,7430
20210519,1,20210520,20210518,0,0,0,0,7431
20210520,1,20210521,20210519,0,0,0,0,7432
20210521,1,20210524,20210520,1,0,0,0,7433
20210522,0,20210524,20210521,0,0,0,0,0
20210523,0,20210524,20210521,0,0,0,0,0
20210524,1,20210525,20210521,0,0,0,0,7434
20210525,1,20210526,20210524,0,0,0,0,7435
20210526,1,20210527,20210525,0,0,0,0,7436
20210527,1,20210528,20210526,0,0,0,0,7437
20210528,1,20210531,20210527,1,0,0,0,7438
20210529,0,20210531,20210528,0,0,0,0,0
20210530,0,20210531,20210528,0,0,0,0,0
20210531,1,20210601,20210528,0,1,0,0,7439
20210601,1,20210602,20210531,0,0,0,0,7440
20210602,1,20210603,20210601,0,0,0,0,7441
20210603,1,20210604,20210602,0,0,0,0,7442
20210604,1,20210607,20210603,1,0,0,0,7443
20210605,0,20210607,20210604,0,0,0,0,0
20210606,0,20210607,20210604,0,0,0,0,0
20210607,1,20210608,20210604,0,0,0,0,7444
20210608,1,20210609,20210607,0,0,0,0,7445
20210609,1,20210610,20210608,0,0,0,0,7446
20210610,1,20210611,20210609,0,0,0,0,7447
20210611,1,20210615,20210610,1,0,0,0,7448
20210612,0,20210615,20210611,0,0,0,0,0
20210613,0,20210615,20210611,0,0,0,0,0
20210614,0,20210615,20210611,0,0,0,0,0
20210615,1,20210616,20210611,0,0,0,0,7449
20210616,1,20210617,20210615,0,0,0,0,7450
20210617,1,20210618,20210616,0,0,0,0,7451
20210618,1,20210621,20210617,1,0,0,0,7452
20210619,0,20210621,20210618,0,0,0,0,0
20210620,0,20210621,20210618,0,0,0,0,0
20210621,1,20210622,20210618,0,0,0,0,7453
20210622,1,20210623,20210621,0,0,0,0,7454
20210623,1,20210624,20210622,0,0,0,0,7455
20210624,1,20210625,20210623,0,0,0,0,7456
20210625,1,20210628,20210624,1,0,0,0,7457
20210626,0,20210628,20210625,0,0,0,0,0
20210627,0,20210628,20210625,0,0,0,0,0
20210628,1,20210629,20210625,0,0,0,0,7458
20210629,1,20210630,20210628,0,0,0,0,7459
20210630,1,20210701,20210629,0,1,1,0,7460
20210701,1,20210702,20210630,0,0,0,0,7461
20210702,1,20210705,20210701,1,0,0,0,7462
20210703,0,20210705,20210702,0,0,0,0,0
20210704,0,20210705,20210702,0,0,0,0,0
20210705,1,20210706,20210702,0,0,0,0,7463
20210706,1,20210707,20210705,0,0,0,0,7464
20210707,1,20210708,20210706,0,0,0,0,7465
20210708,1,20210709,20210707,0,0,0,0,7466
20210709,1,20210712,20210708,1,0,0,0,7467
20210710,0,20210712,20210709,0,0,0,0,0
20210711,0,20210712,20210709,0,0,0,0,0
20210712,1,20210713,20210709,0,0,0,0,7468
20210713,1,20210714,20210712,0,0,0,0,7469
20210714,1,20210715,20210713,0,0,0,0,7470
20210715,1,20210716,20210714,0,0,0,0,7471
20210716,1,20210719,20210715,1,0,0,0,7472
20210717,0,20210719,20210716,0,0,0,0,0
20210718,0,20210719,20210716,0,0,0,0,0
20210719,1,20210720,20210716,0,0,0,0,7473
20210720,1,20210721,20210719,0,0,0,0,7474
20210721,1,20210722,20210720,0,0,0,0,7475
20210722,1,20210723,20210721,0,0,0,0,7476
20210723,1,20210726,20210722,1,0,0,0,7477
20210724,0,20210726,20210723,0,0,0,0,0
20210725,0,20210726,20210723,0,0,0,0,0
20210726,1,20210727,20210723,0,0,0,0,7478
20210727,1,20210728,20210726,0,0,0,0,7479
20210728,1,20210729,20210727,0,0,0,0,7480
20210729,1,20210730,20210728,0,0,0,0,7481
20210730,1,20210802,20210729,1,1,0,0,7482
20210731,0,20210802,20210730,0,0,0,0,0
20210801,0,20210802,20210730,0,0,0,0,0
20210802,1,20210803,20210730,0,0,0,0,7483
20210803,1,20210804,20210802,0,0,0,0,7484
20210804,1,20210805,20210803,0,0,0,0,7485
20210805,1,20210806,20210804,0,0,0,0,7486
20210806,1,20210809,20210805,1,0,0,0,7487
20210807,0,20210809,20210806,0,0,0,0,0
20210808,0,20210809,20210806,0,0,0,0,0
20210809,1,20210810,20210806,0,0,0,0,7488
20210810,1,20210811,20210809,0,0,0,0,7489
20210811,1,20210812,20210810,0,0,0,0,7490
20210812,1,20210813,20210811,0,0,0,0,7491
20210813,1,20210816,20210812,1,0,0,0,7492
20210814,0,20210816,20210813,0,0,0,0,0
20210815,0,20210816,20210813,0,0,0,0,0
20210816,1,20210817,20210813,0,0,0,0,7493
20210817,1,20210818,20210816,0,0,0,0,7494
20210818,1,20210819,20210817,0,0,0,0,7495
20210819,1,20210820,20210818,0,0,0,0,7496
20210820,1,20210823,20210819,1,0,0,0,7497
20210821,0,20210823,20210820,0,0,0,0,0
20210822,0,20210823,20210820,0,0,0,0,0
20210823,1,20210824,20210820,0,0,0,0,7498
20210824,1,20210825,20210823,0,0,0,0,7499
20210825,1,20210826,20210824,0,0,0,0,7500
20210826,1,20210827,20210825,0,0,0,0,7501
20210827,1,20210830,20210826,1,0,0,0,7502
20210828,0,20210830,20210827,0,0,0,0,0
20210829,0,20210830,20210827,0,0,0,0,0
20210830,1,20210831,20210827,0,0,0,0,7503
20210831,1,20210901,20210830,0,1,0,0,7504
20210901,1,20210902,20210831,0,0,0,0,7505
20210902,1,20210903,20210901,0,0,0,0,7506
20210903,1,20210906,20210902,1,0,0,0,7507
20210904,0,20210906,20210903,0,0,0,0,0
20210905,0,20210906,20210903,0,0,0,0,0
20210906,1,20210907,20210903,0,0,0,0,7508
20210907,1,20210908,20210906,0,0,0,0,7509
20210908,1,20210909,20210907,0,0,0,0,7510
20210909,1,20210910,20210908,0,0,0,0,7511
20210910,1,20210913,20210909,1,0,0,0,7512
20210911,0,20210913,20210910,0,0,0,0,0
20210912,0,20210913,20210910,0,0,0,0,0
20210913,1,20210914,20210910,0,0,0,0,7513
20210914,1,20210915,20210913,0,0,0,0,7514
20210915,1,20210916,20210914,0,0,0,0,7515
20210916,1,20210917,20210915,0,0,0,0,7516
20210917,1,20210922,20210916,1,0,0,0,7517
20210918,0,20210922,20210917,0,0,0,0,0
20210919,0,20210922,20210917,0,0,0,0,0
20210920,0,20210922,20210917,0,0,0,0,0
20210921,0,20210922,20210917,0,0,0,0,0
20210922,1,20210923,20210917,0,0,0,0,7518
20210923,1,20210924,20210922,0,0,0,0,7519
20210924,1,20210927,20210923,1,0,0,0,7520
20210925,0,20210927,20210924,0,0,0,0,0
20210926,0,20210927,20210924,0,0,0,0,0
20210927,1,20210928,20210924,0,0,0,0,7521
20210928,1,20210929,20210927,0,0,0,0,7522
20210929,1,20210930,20210928,0,0,0,0,7523
20210930,1,20211008,20210929,1,1,1,0,7524
20211001,0,20211008,20210930,0,0,0,0,0
20211002,0,20211008,20210930,0,0,0,0,0
20211003,0,20211008,20210930,0,0,0,0,0
20211004,0,20211008,20210930,0,0,0,0,0
20211005,0,20211008,20210930,0,0,0,0,0
20211006,0,20211008,20210930,0,0,0,0,0
20211007,0,20211008,20210930,0,0,0,0,0
20211008,1,20211011,20210930,1,0,0,0,7525
20211009,0,20211011,20211008,0,0,0,0,0
20211010,0,20211011,20211008,0,0,0,0,0
20211011,1,20211012,20211008,0,0,0,0,7526
20211012,1,20211013,20211011,0,0,0,0,7527
20211013,1,20211014,20211012,0,0,0,0,7528
20211014,1,20211015,20211013,0,0,0,0,7529
20211015,1,20211018,20211014,1,0,0,0,7530
20211016,0,20211018,20211015,0,0,0,0,0
20211017,0,20211018,20211015,0,0,0,0,0
20211018,1,20211019,20211015,0,0,0,0,7531
20211019,1,20211020,20211018,0,0,0,0,7532
20211020,1,20211021,20211019,0,0,0,0,7533
20211021,1,20211022,20211020,0,0,0,0,7534
20211022,1,20211025,20211021,1,0,0,0,7535
20211023,0,20211025,20211022,0,0,0,0,0
20211024,0,20211025,20211022,0,0,0,0,0
20211025,1,20211026,20211022,0,0,0,0,7536
20211026,1,20211027,20211025,0,0,0,0,7537
20211027,1,20211028,20211026,0,0,0,0,7538
20211028,1,20211029,20211027,0,0,0,0,7539
20211029,1,20211101,20211028,1,1,0,0,7540
20211030,0,20211101,20211029,0,0,0,0,0
20211031,0,20211101,20211029,0,0,0,0,0
20211101,1,20211102,20211029,0,0,0,0,7541
20211102,1,20211103,20211101,0,0,0,0,7542
20211103,1,20211104,20211102,0,0,0,0,7543
20211104,1,20211105,20211103,0,0,0,0,7544
20211105,1,20211108,20211104,1,0,0,0,7545
20211106,0,20211108,20211105,0,0,0,0,0
20211107,0,20211108,20211105,0,0,0,0,0
20211108,1,20211109,20211105,0,0,0,0,7546
20211109,1,20211110,20211108,0,0,0,0,7547
20211110,1,20211111,20211109,0,0,0,0,7548
20211111,1,20211112,20211110,0,0,0,0,7549
20211112,1,20211115,20211111,1,0,0,0,7550
20211113,0,20211115,20211112,0,0,0,0,0
20211114,0,20211115,20211112,0,0,0,0,0
20211115,1,20211116,20211112,0,0,0,0,7551
20211116,1,20211117,20211115,0,0,0,0,7552
20211117,1,20211118,20211116,0,0,0,0,7553
20211118,1,20211119,20211117,0,0,0,0,7554
20211119,1,20211122,20211118,1,0,0,0,7555
20211120,0,20211122,20211119,0,0,0,0,0
20211121,0,20211122,20211119,0,0,0,0,0
20211122,1,20211123,20211119,0,0,0,0,7556
20211123,1,20211124,20211122,0,0,0,0,7557
20211124,1,20211125,20211123,0,0,0,0,7558
20211125,1,20211126,20211124,0,0,0,0,7559
20211126,1,20211129,20211125,1,0,0,0,7560
20211127,0,20211129,20211126,0,0,0,0,0
20211128,0,20211129,20211126,0,0,0,0,0
20211129,1,20211130,20211126,0,0,0,0,7561
